,station_name,lat,lon
4411, '园博园北', '30.644179', '114.229534'
4412, '轻工大学', '30.645966', '114.240916'
4413, '常青花园', '30.646976', '114.249408'
4414, '杨汊湖', '30.641312', '114.267964'
4415, '石桥', '30.636621', '114.271906'
4416, '唐家墩', '30.623632', '114.277818'
4417, '三眼桥', '30.616282', '114.282237'
4418, '香港路', '30.610922', '114.291127'
4419, '苗栗路', '30.604222', '114.296611'
4420, '大智路', '30.598388', '114.30099'
4421, '江汉路', '30.585496', '114.298356'
4422, '六渡桥', '30.580511', '114.290447'
4423, '汉正街', '30.577409', '114.281713'
4424, '武胜路', '30.575435', '114.274832'
4425, '琴台', '30.563377', '114.272554'
4426, '钟家村', '30.554955', '114.272573'
4427, '马鹦路', '30.543792', '114.273309'
4428, '建港', '30.532843', '114.266113'
4429, '前进村', '30.526389', '114.259752'
4430, '国博中心北', '30.517071', '114.250913'
4431, '国博中心南', '30.512743', '114.243257'
4432, '老关村', '30.499384', '114.232552'
4433, '江城大道', '30.502946', '114.209044'
4434, '车城东路', '30.501002', '114.187546'
4435, '东风公司', '30.505436', '114.173519'
4436, '沌阳大道', '30.49498', '114.16368'
4437, '东风公司', '30.505436', '114.173519'
4438, '体育中心', '23.140764', '113.33493'
4439, '三角湖', '30.5224', '114.186405'
4440, '汉阳客运站', '30.533083', '114.195461'
4441, '四新大道', '30.540366', '114.201004'
4442, '陶家岭', '30.552096', '114.208956'
4443, '龙阳村', '30.559007', '114.212841'
4444, '王家湾', '30.568029', '114.216644'
4445, '宗关', '30.586704', '114.232517'
4446, '双墩', '30.593054', '114.238905'
4447, '武汉商务区', '30.604305', '114.2532'
4448, '云飞路', '30.611191', '114.258257'
4449, '范湖', '30.613241', '114.267108'
4450, '菱角湖', '30.609928', '114.282375'
4451, '香港路', '30.610922', '114.291127'
4452, '惠济二路', '30.618157', '114.297226'
4453, '赵家条', '30.62415', '114.303936'
4454, '罗家庄', '30.629789', '114.311129'
4455, '二七小路', '30.634444', '114.314333'
4456, '兴业路', '30.647964', '114.310515'
4457, '后湖大道', '30.655751', '114.310692'
4458, '市民之家', '30.666712', '114.30425'
4459, '宏图大道', '30.675076', '114.284871'
4460, '金潭路', '30.682709', '114.29055'
4461, '宏图大道', '30.675076', '114.284871'
4462, '塔子湖', '30.65851', '114.286998'
4463, '中一路', '30.645819', '114.287636'
4464, '竹叶山', '30.631138', '114.2936'
4465, '赵家条', '30.62415', '114.303936'
4466, '黄浦路', '30.614068', '114.314679'
