47,5号线,北苑路北,"40.0305801470359, 116.418079733849"
48,5号线,大屯路东,"40.0038389187502, 116.417382359505"
49,5号线,惠新西街北口,"39.9878277872698, 116.417033672333"
50,5号线,惠新西街南口,"39.9771529845058, 116.417634487152"
51,5号线,和平西桥,"39.9685362940926, 116.417956352234"
52,5号线,和平里北街,"39.9593428638424, 116.418299674988"
53,5号线,雍和宫,"39.9493092665012, 116.416969299316"
54,5号线,北新桥,"39.9409687466343, 116.416797637939"
55,5号线,张自忠路,"39.9336637876248, 116.417098045349"
56,5号线,东四,"39.9243751631805, 116.417484283447"
57,5号线,灯市口,"39.9173399809533, 116.417741775513"
58,5号线,东单,"39.9082548869977, 116.420016288757"
59,5号线,崇文门,"39.9010452050184, 116.417269706726"
60,5号线,瓷器口,"39.8931103859477, 116.418857574463"
61,5号线,天坛东门,"39.8831000092602, 116.420788764954"
62,5号线,蒲黄榆,"39.8657100915516, 116.421604156494"
63,5号线,刘家窑,"39.8576723521832, 116.422119140625"
64,5号线,宋家庄,"39.8472614216662, 116.428427696228"
65,10号线,巴沟,"39.9741685095561, 116.292783021927"
66,10号线,苏州街,"39.9756319873871, 116.306236982346"
67,10号线,海淀黄庄,"39.9760101844274, 116.317577362061"
68,10号线,知春里,"39.9763390497178, 116.328617334366"
69,10号线,知春路,"39.9764788169869, 116.339946985245"
70,10号线,西土城,"39.9765692544793, 116.353797912598"
71,10号线,牡丹园,"39.9766925781398, 116.369848251343"
72,10号线,建德门,"39.9767419075417, 116.381338834763"
73,10号线,北土城,"39.9769227817105, 116.394267082214"
74,10号线,安贞门,"39.9770132186154, 116.405940055847"
75,10号线,惠新西街南口,"39.9771365414747, 116.417570114136"
76,10号线,芍药居,"39.9771858705561, 116.438083648682"
77,10号线,太阳宫,"39.9728612191516, 116.447600126266"
78,10号线,三元桥,"39.9605681777332, 116.456977128983"
79,10号线,亮马桥,"39.9493750653766, 116.461697816849"
80,10号线,农业展览馆,"39.941635038547, 116.462105512619"
81,10号线,团结湖,"39.9337296015471, 116.461772918701"
82,10号线,呼家楼,"39.9234042687448, 116.461730003357"
83,10号线,金台夕照,"39.9172659225593, 116.461740732193"
84,10号线,国贸,"39.9092424555833, 116.461826562881"
85,10号线,双井,"39.8934972708371, 116.461794376373"
86,10号线,劲松,"39.8845572026865, 116.461215019226"
87,4号线,安河桥北,"40.0119005981231, 116.270118355751"
88,4号线,北宫门,"40.0026308174975, 116.275514960289"
89,4号线,西苑,"39.9985173600794, 116.29043340683"
90,4号线,圆明园,"39.9995365014928, 116.309686303139"
91,4号线,北京大学东门,"39.9921432717815, 116.315785646439"
92,4号线,中关村,"39.9839107353035, 116.316477656364"
93,4号线,海淀黄庄,"39.9760019627749, 116.317571997643"
94,4号线,人民大学,"39.9669123209587, 116.321219801903"
95,4号线,魏公村,"39.9580969684813, 116.323081254959"
96,4号线,国家图书馆,"39.9432143712382, 116.325146555901"
